Wavelength / um,Transmission @ 40C,Transmission @ 65C,Transmission @ 80C
1554.2158103856711,0.5533429542223526,0.9805712061780812,0.6173732624627721
1554.2073474149886,0.5648376777500739,0.9633561733829418,0.5988584237811674
1554.1988845364704,0.5782222833405655,0.9416935142543381,0.5823239611300818
1554.1904217501144,0.5935568807144986,0.9164489167546651,0.5677502952733899
1554.1819590559198,0.6108863801065486,0.8885548818305922,0.5550954785503768
1554.1734964538846,0.6302300734567995,0.8589401532165434,0.5443032170009969
1554.165033944008,0.6515740277142968,0.8284693487055123,0.5353131139920967
1554.1565715262875,0.6748656368717353,0.7978990643843504,0.5280709032388671
1554.1481092007223,0.7000079705341251,0.7678535312274722,0.5225360600054212
1554.1396469673107,0.726850873495047,0.738819364456013,0.5186849590396855
1554.1311848260514,0.7551765797720003,0.7111558110606442,0.5165093170580665
1554.1227227769423,0.7846798260147658,0.6851148418555857,0.5160113405542651
1554.1142608199825,0.814945449329338,0.6608648553480285,0.5171980952268183
1554.10579895517,0.8454292390557854,0.6385126720960377,0.5200776774509092
1554.0973371825041,0.8754493534443862,0.6181205073539233,0.5246587860426909
1554.0888755019826,0.9041951990067931,0.5997170415223068,0.5309536761146557
1554.080413913604,0.9307581474213151,0.5833038075300248,0.5389828840135558
1554.071952417367,0.9541843256918252,0.5688593076125004,0.5487791911457762
1554.06349101327,0.9735449330986595,0.5563433106523213,0.5603883951185972
1554.0550297013117,0.9880153265080346,0.5457028430118899,0.5738655199268802
1554.0465684814903,0.9969515443759935,0.5368799566283488,0.5892666566322012
1554.0381073538044,0.9999526647738978,0.5298200592645843,0.6066380173788288
1554.029646318253,0.9968994821736094,0.5244789378331165,0.6260044153003729
1554.0211853748337,0.9879639347284922,0.5208268211810464,0.6473589816919493
1554.0127245235456,0.9735886017281224,0.5188487790177393,0.6706546793365562
1554.0042637643871,0.9544403518215107,0.5185420142930444,0.6957966389702819
1553.9958030973564,0.9313459081675318,0.5199116425007895,0.7226332809489769
1553.987342522452,0.9052190872046835,0.5229669347277133,0.7509442060028578
1553.978882039673,0.8769895727806382,0.52771957876526,0.7804241746509419
1553.9704216490175,0.8475415270623851,0.5341844622775558,0.8106648473961695
1553.961961350484,0.8176676370875201,0.5423822349511195,0.8411385709908283
1553.9535011440707,0.7880410152551222,0.5523419674264721,0.8711903930956971
1553.9450410297766,0.7592043607659404,0.5641019653340941,0.9000448095087417
1553.9365810076001,0.7315734509233501,0.5777073037418674,0.9268320671334364
1553.9281210775393,0.7054506559013403,0.5932036890660358,0.9506353486177952
1553.919661239593,0.6810438176415446,0.6106283794785862,0.9705556330775947
1553.9112014937598,0.6584863617398673,0.6299996183625381,0.9857866224595505
1553.9027418400383,0.6378556403188633,0.651306054702705,0.9956890451374886
1553.8942822784263,0.619187885171735,0.6744969504245776,0.999852771823083
1553.885822808923,0.602489447502682,0.6994729473832936,0.998136801088164
1553.8773634315266,0.5877449509576711,0.7260763239624864,0.9906809259842032
1553.8689041462358,0.5749234490648284,0.7540795315235779,0.9778878709684135
1553.8604449530487,0.5639836569425826,0.783171633846345,0.9603797082398495
1553.8519858519642,0.554878946967919,0.8129439525252654,0.9389363055632922
1553.8435268429805,0.5475622635364504,0.8428782285258297,0.9144256556286149
1553.8350679260966,0.5419906450053548,0.8723421814619933,0.887735944153642
1553.8266091013104,0.5381288066786564,0.900597743113215,0.8597174068020499
1553.8181503686205,0.5359513021592603,0.9268260144453992,0.8311390668230152
1553.8096917280254,0.5354430880791552,0.9501701911004637,0.8026621566074231
1553.8012331795242,0.536598725094471,0.9697938912157693,0.7748291512841712
1553.7927747231147,0.5394207789424023,0.9849484556400385,0.7480653743640007
1553.7843163587954,0.5439180976810458,0.9950399357487093,0.7226892439209301
1553.7758580865652,0.5501044848791469,0.9996854842623071,0.6989272906782767
1553.7673999064225,0.5579979209771306,0.9987500882604979,0.6769307870150207
1553.7589418183654,0.5676200506318718,0.9923578033192224,0.6567918137085025
1553.7504838223929,0.5789953209608751,0.9808761049174878,0.638557551406525
1553.7420259185033,0.5921490503622026,0.9648766006730474,0.6222423294717913
1553.733568106695,0.6071038607330222,0.9450790758519064,0.607837437457788
1553.7251103869664,0.6238742416455091,0.9222878976778975,0.5953189401726418
1553.7166527593165,0.6424593857991339,0.8973298855823441,0.5846538149855293
1553.7081952237436,0.6628346889986979,0.871001086777027,0.5758047261255157
1553.6997377802456,0.6849423612282737,0.8440271037547324,0.5687337142795239
1553.6912804288218,0.7086814774440549,0.8170385101056455,0.5634050306560784
1553.68282316947,0.7338976453504541,0.7905602104227127,0.559787286191805
1553.6743660021896,0.7603724711219509,0.7650118429179578,0.5578550209600524
1553.665908926978,0.7878133121423192,0.740715642221235,0.5575897356280171
1553.6574519438348,0.8158444405250704,0.717908413259068,0.5589803812760233
1553.6489950527575,0.8440015523114667,0.6967550566362388,0.5620232882499838
1553.6405382537455,0.8717322435754304,0.6773620294811584,0.5667215295994013
1553.6320815467964,0.8984052738333086,0.6597899117825408,0.5730837462490967
1553.6236249319093,0.923330857409665,0.6440647291444155,0.5811224863044548
1553.6151684090823,0.9457927723015855,0.6301878753831311,0.5908521086461719
1553.6067119783147,0.9650909344313794,0.6181445045351968,0.6022862615876934
1553.598255639604,0.9805906968300488,0.6079102662043765,0.6154348789624096
1553.5897993929493,0.991773098791583,0.5994563361027095,0.6303005607521293
1553.581343238349,0.9982791982001852,0.5927528575398562,0.6468741516747608
1553.5728871758013,0.9999418652964946,0.5877711001032636,0.6651293238909379
