Wavelength / um,Transmission @ 40C,Transmission @ 65C,Transmission @ 80C
1554.2158103856711,0.999864906720123,0.9972819830253548,0.9993387827722333
1554.2073474149886,0.9999216896356851,0.9970756379226895,0.999090714306194
1554.1988845364704,0.999962474938366,0.9968893902285589,0.9988067015145006
1554.1904217501144,0.9999877300556519,0.9967261271059008,0.9984895849586506
1554.1819590559198,0.9999981736161084,0.9965882623540598,0.9981428576067448
1554.1734964538846,0.9999947517913318,0.9964777100991885,0.9977706188888822
1554.165033944008,0.9999786111657184,0.996395867867268,0.9973775166631913
1554.1565715262875,0.999951068781149,0.9963436090982767,0.9969686780806453
1554.1481092007223,0.9999135800399346,0.9963212849387639,0.9965496305632624
1554.1396469673107,0.9998677051934229,0.9963287349870147,0.996126214343895
1554.1311848260514,0.999815075124447,0.99636530657487,0.9957044881110113
1554.1227227769423,0.9997573571604799,0.9964298819935935,0.9952906294770373
1554.1142608199825,0.9996962216132099,0.9965209129780676,0.9948908320454665
1554.10579895517,0.9996333096708307,0.9966364616984008,0.9945112008086737
1554.0973371825041,0.9995702032785041,0.9967742473610115,0.9941576477518245
1554.0888755019826,0.9995083974919287,0.9969316974197079,0.9938357893639554
1554.080413913604,0.9994492758088458,0.9971060024805861,0.9935508478448652
1554.071952417367,0.9993940888095104,0.9972941737218586,0.9933075575825226
1554.06349101327,0.9993439364109347,0.9974931018347021,0.9931100784761935
1554.0550297013117,0.9992997539593241,0.9976996163000543,0.9929619175112548
1554.0465684814903,0.9992623022641163,0.9979105439872658,0.9928658598788309
1554.0381073538044,0.9992321616346241,0.9981227659444125,0.9928239107784322
1554.029646318253,0.9992097298724666,0.998333271404307,0.9928372488941039
1554.0211853748337,0.9991952241034681,0.9985392080327411,0.9929061924027085
1554.0127245235456,0.9991886862607908,0.9987379275383631,0.9930301782010614
1554.0042637643871,0.9991899919234403,0.9989270259310921,0.993207754854434
1553.9958030973564,0.9991988622305911,0.9991043776821975,0.9934365897174466
1553.987342522452,0.9992148784210743,0.9992681634205502,0.9937134903228391
1553.978882039673,0.9992374986417492,0.9994168906314035,0.9940344401718089
1553.9704216490175,0.9992660765186767,0.999549407279776,0.9943946486504731
1553.961961350484,0.9992998810448003,0.9996649082348078,0.9947886147355502
1553.9535011440707,0.9993381172803422,0.9997629346294776,0.9952102038374797
1553.9450410297766,0.9993799474043205,0.9998433663524979,0.9956527369590271
1553.9365810076001,0.9994245116218106,0.9999064081209794,0.9961090910437691
1553.9281210775393,0.9994709484631346,0.9999525696062385,0.9965718091730845
1553.919661239593,0.9995184140651968,0.9999826402619418,0.9970332190772675
1553.9112014937598,0.9995660999951557,0.9999976595748973,0.9974855580651779
1553.9027418400383,0.9996132492968773,0.999998883539096,0.9979211024254379
1553.8942822784263,0.9996591704461759,0.9999877482181954,0.9983322990354828
1553.885822808923,0.9997032489693514,0.9999658312930829,0.998711896805542
1553.8773634315266,0.999744956561827,0.9999348124888064,0.9990530754751842
1553.8689041462358,0.999783857615519,0.9998964337560176,0.9993495692570717
1553.8604449530487,0.999819613033261,0.999852460191107,0.9995957825914376
1553.8519858519642,0.9998519815075896,0.9998046422773862,0.9997868958895512
1553.8435268429805,0.9998808181859061,0.9997546804401289,0.9999189585736935
1553.8350679260966,0.9999060709715718,0.9997041924308528,0.9999889675377738
1553.8266091013104,0.9999277746240283,0.9996546841596539,0.9999949291245331
1553.8181503686205,0.9999460428973223,0.9996075244692262,0.9999359031430122
1553.8096917280254,0.9999610590254312,0.9995639241957708,0.9998120278644973
1553.8012331795242,0.9999730648692977,0.9995249197912605,0.9996245252993634
1553.7927747231147,0.999982349048355,0.9994913617040075,0.9993756865716696
1553.7843163587954,0.9999892345276334,0.9994639074080132,0.9990688376383798
1553.7758580865652,0.9999940658513671,0.9994430192746896,0.9987082860154993
1553.7673999064225,0.9999971965724034,0.9994289668579213,0.9982992496782258
1553.7589418183654,0.9999989771098726,0.9994218334988664,0.9978477696062851
1553.7504838223929,0.999999743406919,0.9994215268313265,0.9973606078536579
1553.7420259185033,0.9999998066689569,0.999427792790013,0.996845133256984
1553.733568106695,0.9999994444376823,0.9994402326362908,0.9963091971196627
1553.7251103869664,0.9999988932235442,0.99945832245573,0.9957610013719805
1553.7166527593165,0.999998342855911,0.9994814345658184,0.9952089617347621
1553.7081952237436,0.9999979326770861,0.9995088602288013,0.9946615684603707
1553.6997377802456,0.9999977496361084,0.9995398330739844,0.994127247132301
1553.6912804288218,0.9999978283046157,0.9995735526063272,0.9936142219355608
1553.68282316947,0.9999981527578974,0.9996092072323643,0.9931303836232911
1553.6743660021896,0.999998660229776,0.9996459962295177,0.9926831642624315
1553.665908926978,0.9999992463859875,0.9996831501534669,0.9922794206116499
1553.6574519438348,0.9999997720265467,0.9997199492188977,0.9919253277926517
1553.6489950527575,1.0000000709733021,0.9997557392623918,0.9916262846643762
1553.6405382537455,0.9999999588917763,0.9997899449561741,0.9913868321257192
1553.6320815467964,0.9999992427401677,0.9998220800552762,0.9912105853104174
1553.6236249319093,0.9999977305502642,0.9998517544960968,0.9911001804495124
1553.6151684090823,0.9999952412226716,0.9998786782954708,0.9910572369843298
1553.6067119783147,0.9999916140124395,0.9999026622606066,0.9910823352935761
1553.598255639604,0.9999867174057574,0.9999236156109094,0.9911750102500628
1553.5897993929493,0.9999804570748902,0.9999415406986184,0.9913337606174674
1553.581343238349,0.9999727826526481,0.9999565250801739,0.9915560741560534
1553.5728871758013,0.999963693075966,0.9999687312683645,0.9918384681117275
